Channel Islands Pug;Eupithecia ultimaria
Chequered Fruit-tree Tortrix;Pandemis corylana
Cherry Fruit Moth;Argyresthia pruniella
Cherry-bark Moth;Enarmonia formosana
Chestnut-coloured Carpet;Thera cognata
Chimney Sweeper;Odezia atrata
Chinese Character;Cilix glaucata
Chocolate-tip;Clostera curtula
Cistus Forester;Adscita geryon
Citron Plume;Hellinsia carphodactyla
Clancy's Rustic;Caradrina kadenii
Clay Fan-foot;Paracolax tristalis
Clay Triple-lines;Cyclophora linearia
Clifden Nonpareil;Catocala fraxini
Cloaked Carpet;Euphyia biangulata
Cloaked Minor;Mesoligia furuncula
Cloaked Pug;Eupithecia abietaria
Clouded August Thorn;Ennomos quercaria
Clouded Border;Lomaspilis marginata
Clouded Brindle;Apamea epomidion
Clouded Buff;Diacrisia sannio
Clouded Drab;Orthosia incerta
Clouded Magpie;Abraxas sylvata
Clouded Silver;Lomographa temerata
Clouded-bordered Brindle;Apamea crenata
Clover Case-bearer;Coleophora alcyonipennella
Coast Conch;Gynnidomorpha permixtana
Coast Dart;Euxoa cursoria
Cocksfoot Moth;Glyphipterix simpliciella
Codling Moth;Cydia pomonella
Common Carpet;Epirrhoe alternata
Common Clothes Moth;Tineola bisselliella
Common Emerald;Hemithea aestivaria
Common Fan-foot;Pechipogo strigilata
Common Footman;Eilema lurideola
Common Forest Looper;Pseudocoremia suavis
Common Heath;Ematurga atomaria
Common Lutestring;Ochropacha duplaris
Common Marbled Carpet;Dysstroma truncata
Common Plume;Emmelina monodactyla
Common Pug;Eupithecia vulgata
Common Quaker;Orthosia cerasi
Common Rustic;Mesapamea secalis
Common Swift;Korscheltellus lupulina
Common Wainscot;Mythimna pallens
Common Wave;Cabera exanthemata
Common White Wave;Cabera pusaria
Convolvulus Hawk-moth;Agrius convolvuli
Copper Underwing;Amphipyra pyramidea
Cork Moth;Nemapogon cloacella
Corn Moth;Nemapogon granella
Cotoneaster Webworm;Athrips rancidella
Cousin German;Protolampra sobrina
Coxcomb Prominent;Ptilodon capucina
Cream Wave;Scopula floslactata
Cream-bordered Green Pea;Earias clorana
Cream-spot Tiger;Arctia villica
Crescent Dart;Agrotis trux
Crescent Plume;Marasmarcha lunaedactyla
Crescent Striped;Apamea oblonga
Crimson Speckled;Utetheisa pulchella
Crinan Ear;Amphipoea crinanensis
Cryptic Fern;Horisme radicaria
Cumberland Gem;Eucarta amethystina
Cumbrian Umber;Horisme aquata
Currant Clearwing;Synanthedon tipuliformis
Currant Pug;Eupithecia assimilata
Currant Shoot Borer;Lampronia capitella
Cyclamen Tortrix;Clepsis spectrana
Cypress Carpet;Thera cupressata
Cypress Pug;Eupithecia phoeniceata
Dark Arches;Apamea monoglypha
Dark Ash Bud Moth;Prays ruficeps
Dark Bordered Beauty;Epione vespertaria
Dark Brocade;Mniotype adusta
Dark Chestnut;Conistra ligula
Dark Crimson Underwing;Catocala sponsa
Dark Dagger;Acronicta tridens
Dark Fruit-tree Tortrix;Pandemis heparana
Dark Marbled Carpet;Dysstroma citrata
Dark Mottled Willow;Spodoptera cilium
Dark Spectacle;Abrostola triplasia
Dark Spinach;Pelurga comitata
Dark Spruce Bell;Epinotia subsequana
Dark Sword-grass;Agrotis ipsilon
Dark Tussock;Dicallomera fascelina
Dark Umber;Philereme transversata
Dark-barred Twin-spot Carpet;Xanthorhoe ferrugata
Death's-head Hawk-moth;Acherontia atropos
December Moth;Poecilocampa populi
Deep-brown Dart;Aporophyla lutulenta
Dentated Pug;Anticollix sparsata
Devon Carpet;Lampropteryx otregiata
Devonshire Wainscot;Leucania putrescens
Dew Moth;Setina irrorella
Dewick's Plusia;Macdunnoughia confusa
Diamond-back Moth;Plutella xylostella
Dingy Angle;Macaria bicolorata
Dingy Footman;Eilema griseola
Dingy Mocha;Cyclophora pendularia
Dingy Roseate Conch;Cochylidia subroseana
Dingy Shears;Apterogenum ypsillon
Dingy Shell;Euchoeca nebulata
Dingy White Plume;Merrifieldia baliodactylus
Dog's Tooth;Lacanobia suasa
Dorset Cream Wave;Stegania trimaculata
Dot Moth;Melanchra persicariae
Dotted Border;Agriopis marginaria
Dotted Border Wave;Idaea sylvestraria
Dotted Carpet;Alcis jubata
Dotted Chestnut;Conistra rubiginea
Dotted Clay;Xestia baja
Dotted Fan-foot;Macrochilo cribrumalis
Dotted Footman;Pelosia muscerda
Dotted Rustic;Rhyacia simulans
Double Dart;Graphiphora augur
Double Kidney;Ipimorpha retusa
Double Line;Mythimna turca
Double Lobed;Lateroligia ophiogramma
Double Square-spot;Xestia triangulum
Doubleday's Pug;Eupithecia cauchiata
Double-spot Brocade;Meganephria bimaculosa
Double-spotted Spangle;Megalographa bimaculata
Double-striped Pug;Gymnoscelis rufifasciata
Dowdy Plume;Stenoptilia zophodactylus
Downland Plume;Oxyptilus pilosellae
Drab Looper;Minoa murinata
Dried Currant Moth;Cadra cautella
Dried Fruit Moth;Cadra calidella
Dumeril's Rustic;Luperina dumerilii
Dusky Brocade;Apamea remissa
Dusky Carpet;Tephronia sepiaria
Dusky Clearwing;Paranthrene tabaniformis
Dusky Fan-foot;Zanclognatha zelleralis
Dusky Hook-tip;Drepana curvatula
Dusky Marbled Brown;Gluphisia crenata
Dusky Peacock;Macaria signaria
Dusky Plume;Oidaematophorus lithodactyla
Dusky Sallow;Eremobia ochroleuca
Dusky Scalloped Oak;Crocallis dardoinaria
Dusky Thorn;Ennomos fuscantaria
Dusky-lemon Sallow;Cirrhia gilvago
Dwarf Cream Wave;Idaea fuscovenosa
Dwarf Pug;Eupithecia tantillaria
Ear Moth;Amphipoea oculea
Early Grey;Xylocampa areola
Early Moth;Theria primaria
Early Thorn;Selenia dentaria
Early Tooth-striped;Trichopteryx carpinata
Eastern Bordered Straw;Heliothis nubigera
Eastern Nycteoline;Nycteola asiatica
Egyptian Bollworm;Earias insulana
Elephant Hawk-moth;Deilephila elpenor
Elgin Shoot Moth;Rhyacionia logaea
Elm Spanworm;Ennomos subsignaria
Emperor Moth;Saturnia pavonia
Epping Pug;Eupithecia massiliata
Essex Emerald;Thetidia smaragdaria
Essex Y;Cornutiplusia circumflexa
European Corn-borer;Ostrinia nubilalis
European Vine Moth;Lobesia botrana
Eversmann's Rustic;Actebia fennica
Eyed Hawk-moth;Smerinthus ocellata
False Codling Moth;Thaumatotibia leucotreta
False Mocha;Cyclophora porata
False Water Betony;Cucullia prenanthis
Feathered Beauty;Peribatodes secundaria
Feathered Brindle;Aporophyla australis
Feathered Ear;Pachetra sagittigera
Feathered Footman;Coscinia striata
Feathered Gothic;Tholera decimalis
Feathered Ranunculus;Polymixis lichenea
Feathered Thorn;Colotois pennaria
Fen Square-spot;Diarsia florida
Fen Wainscot;Arenostola phragmitidis
Fenn's Wainscot;Protarchanara brevilinea
Fiery Clearwing;Pyropteron chrysidiformis
Figure of Eight;Diloba caeruleocephala
Figure of Eighty;Tethea ocularis
Firethorn Leaf Miner;Phyllonorycter leucographella
Fisher's Estuarine Moth;Gortyna borelii
Five-Spot Burnet;Zygaena trifolii
Five-spotted Hawk-moth;Manduca quinquemaculatus
Flame Brocade;Trigonophora flammea
Flame Carpet;Xanthorhoe designata
Flame Shoulder;Ochropleura plecta
Flame Wainscot;Senta flammea
Flax Tortrix;Cnephasia asseclana
Flounced Chestnut;Agrochola helvola
Flounced Rustic;Luperina testacea
Fortified Carpet;Scotopteryx moeniata
Four-dotted Footman;Cybosia mesomella
Four-spotted Footman;Lithosia quadra
Fox Moth;Macrothylacia rubi
Foxglove Pug;Eupithecia pulchellata
French Red Underwing;Catocala elocata
Freyer's Pug;Eupithecia intricata
Frosted Green;Polyploca ridens
Frosted Orange;Gortyna flavago
Frosted Yellow;Isturgia limbaria
Fruitlet Mining Tortrix;Pammene rhediella
Fulvous Bell;Eucosma fulvana
Galium Carpet;Epirrhoe galiata
Garden Carpet;Xanthorhoe fluctuata
Garden Dart;Euxoa nigricans
Garden Pebble;Evergestis forficalis
Garden Rose Tortrix;Acleris variegana
Garden Tiger;Arctia caja
Gentian Plume;Stenoptilia pneumonanthes
Ghost Moth;Hepialus humuli
Glaucous Shears;Papestra biren
Goat Moth;Cossus cossus
Gold Spangle;Autographa bractea
Gold Spot;Plusia festucae
Gold Swift;Phymatopus hecta
Gold Triangle;Hypsopygia costalis
Golden Plusia;Polychrysia moneta
Golden Twin-spot;Chrysodeixis chalcites
Golden-rod Brindle;Xylena solidaginis
Goldenrod Plume;Platyptilia calodactyla
Golden-rod Pug;Eupithecia virgaureata
Goosefoot Pug;Eupithecia sinuosaria
Gothic Dart;Feltia subgothica
Grass Eggar;Lasiocampa trifolii
Grass Emerald;Pseudoterpna pruinata
Grass Rivulet;Perizoma albulata
Grass Wave;Perconia strigillaria
Grass Webworm;Herpetogramma licarsisalis
Great Brocade;Eurois occulta
Great Dart;Agrotis bigramma
Great Kidney;Synedoida grandirena
Great Oak Beauty;Hypomecis roboraria
Great Peacock;Saturnia pyri
Great Prominent;Peridea anceps
Green Arches;Anaplectoides prasina
Green Carpet;Colostygia pectinataria
Green Oak Tortrix;Tortrix viridana
Green Pug;Pasiphila rectangulata
Green Silver-lines;Pseudoips prasinana
Green Silver-spangled Shark;Cucullia argentea
Green-brindled Crescent;Allophyes oxyacanthae
Green-brindled Dot;Valeria oleagina
Gregson's Dart;Agrotis spinifera
Grey Arches;Polia nebulosa
Grey Birch;Aethalura punctulata
Grey Carpet;Lithostege griseata
Grey Chi;Antitype chi
Grey Dagger;Acronicta psi
Grey Mountain Carpet;Entephria caesiata
Grey Pine Carpet;Thera obeliscata
Grey Pug;Eupithecia subfuscata
Grey Scalloped Bar;Dyscia fagaria
Grey Shoulder-knot;Lithophane ornitopus
Grey Square;Pardasena virgulana
Grey Tortrix;Cnephasia stephensiana
Ground Lackey;Malacosoma castrensis
Grouville Dart;Agrotis catalaunensis
Guernsey Underwing;Polyphaenis sericata
Gypsy Moth;Lymantria dispar
Haworth's Minor;Celaena haworthii
Haworth's Pug;Eupithecia haworthiata
Hawthorn Moth;Scythropia crataegella
Heart & Club;Agrotis clavis
Heart & Dart;Agrotis exclamationis
Heart Moth;Dicycla oo
Heath Rivulet;Perizoma minorata
Heath Rustic;Xestia agathina
Hebrew Character;Orthosia gothica
Hedge Rustic;Tholera cespitis
Hemp-agrimony Plume;Adaina microdactyla
Hoary Footman;Eilema caniola
Hoary Plume;Platyptilia isodactylus
Holly Tortrix;Rhopobota naevana
Hollyhock Seed Moth;Pexicopia malvella
Honeysuckle Moth;Ypsolopha dentella
Horehound Plume;Wheeleria spilodactylus
Hornet Moth;Sesia apiformis
Horse Chestnut;Pachycnemia hippocastanaria
Horse Chestnut Leaf-miner;Cameraria ohridella
Hummingbird Hawk-moth;Macroglossum stellatarum
Indian Meal Moth;Plodia interpunctella
Ingrailed Clay;Diarsia mendica
Irish Annulet;Gnophos dumetata hibernica
Irish Plume;Platyptilia tesseradactyla
Iron Prominent;Notodonta dromedarius
Isabelline Tiger;Pyrrharctia isabella
Isle of Wight Wave;Idaea humiliata
Jersey Black Arches;Nola chlamitulalis
Jersey Emerald;Pseudoterpna coronillaria
Jersey Mocha;Cyclophora ruficiliaria
Jersey Tiger;Euplagia quadripunctaria
Jubilee Fan-foot;Zanclognatha lunalis
July Belle;Scotopteryx luridata
July Highflyer;Hydriomena furcata
Jumping Bean Moth;Cydia deshaisiana
Juniper Carpet;Thera juniperata
Juniper Pug;Eupithecia pusillata
Juniper Webber;Dichomeris marginella
Kent Black Arches;Meganola albula
Kentish Glory;Endromis versicolora
Kew Arches;Brithys crini
Kidney-spotted Minor;Lacinipolia renigera
Knot Grass;Acronicta rumicis
Laburnum Leaf Miner;Leucoptera laburnella
Lace Border;Scopula ornata
L-album Wainscot;Mythimna l-album
Langmaid's Yellow Underwing;Noctua janthina
Larch Case-bearer;Coleophora laricella
Larch Pug;Eupithecia lariciata
Larch Tortrix;Zeiraphera griseana
Large Clover Case-bearer;Coleophora trifolii
Large Dagger;Acronicta cuspis
Large Dark Prominent;Notodonta torva
Large Ear;Amphipoea lucens
Large Emerald;Geometra papilionaria
Large Fruit-tree Tortrix;Archips podana
Large Lace Border;Scopula limboundata
Large Nutmeg;Apamea anceps
Large Pale Clothes Moth;Tinea pallescentella
Large Ranunculus;Polymixis flavicincta
Large Red-belted Clearwing;Synanthedon culiciformis
Large Tabby;Aglossa pinguinalis
Large Thorn;Ennomos autumnaria
Large Twin-spot Carpet;Xanthorhoe quadrifasiata
Large Wainscot;Rhizedra lutosa
Large Yellow Underwing;Noctua pronuba
Latreille's Latin;Callopistria latreillei
Latticed Heath;Chiasmia clathrata
Lead Belle;Scotopteryx mucronata
Lead-coloured Drab;Orthosia populeti
Lead-coloured Pug;Eupithecia plumbeolata
Least Black Arches;Nola confusalis
Least Carpet;Idaea rusticata
Least Minor;Photedes captiuncula
Least Yellow Underwing;Noctua interjecta
Leek Moth;Acrolepiopsis assectella
Lempke's Gold Spot;Plusia putnami
Leopard Moth;Zeuzera pyrina
Lesser Belle;Colobochyla salicalis
Lesser Broad-bordered Yellow Underwing;Noctua janthe
Lesser Common Rustic;Mesapamea didyma
Lesser Cream Wave;Scopula immutata
Lesser Lichen Case-bearer;Dahlica inconspicuella
Lesser Swallow Prominent;Pheosia gnoma
Lesser Treble-bar;Aplocera efformata
Lesser Wax Moth;Achroia grisella
Lesser Yellow Underwing;Noctua comes
Lesser-spotted Pinion;Cosmia affinis
Lettuce Shark;Cucullia lactucae
Levant Blackneck;Tathorhynchus exsiccata
Lewes Wave;Scopula immorata
Lichen Case-bearer;Dahlica lichenella
Light Arches;Apamea lithoxylaea
Light Brocade;Lacanobia w-latinum
Light Brown Apple Moth;Epiphyas postvittana
