"id" "species" "tot_photo" "nederNaam" "group" "family"
"610" "Coleophora argentula" "0" "duizendbladkokermot" "micro" "Coleophoridae"
"611" "Coleophora artemisicolella" "0" "bijvoetbloemkokermot" "micro" "Coleophoridae"
"612" "Coleophora asteris" "0" "asterkokermot" "micro" "Coleophoridae"
"613" "Coleophora atriplicis" "0" "lichtbruine meldekokermot" "micro" "Coleophoridae"
"614" "Coleophora badiipennella" "0" "iepenkokermot" "micro" "Coleophoridae"
"615" "Coleophora betulella" "0" "witte berkenkokermot" "micro" "Coleophoridae"
"616" "Coleophora binderella" "0" "gefrommelde kokermot" "micro" "Coleophoridae"
"617" "Coleophora boreella" "0" "noordse kokermot" "micro" "Coleophoridae"
"618" "Coleophora bornicensis" "0" "kroketjeskokermot" "micro" "Coleophoridae"
"619" "Coleophora caelebipennella" "0" "bonte averuitkokermot" "micro" "Coleophoridae"
"620" "Coleophora caespititiella" "0" "bieskokermot" "micro" "Coleophoridae"
"621" "Coleophora calycotomella" "0" "bezembremkokermot" "micro" "Coleophoridae"
"622" "Coleophora chalcogrammella" "0" "goudkokermot" "micro" "Coleophoridae"
"623" "Coleophora clypeiferella" "0" "roetstreepkokermot" "micro" "Coleophoridae"
"624" "Coleophora conspicuella" "0" "knoopkruidkokermot" "micro" "Coleophoridae"
"625" "Coleophora conyzae" "0" "heelblaadjeskokermot" "micro" "Coleophoridae"
"626" "Coleophora coracipennella" "0" "donkergrijze kokermot" "micro" "Coleophoridae"
"627" "Coleophora cornutella" "0" "lichtbruine berkkokermot" "micro" "Coleophoridae"
"628" "Coleophora coronillae" "0" "zwavelgele peulkokermot" "micro" "Coleophoridae"
"629" "Coleophora currucipennella" "0" "okervlerkkokermot" "micro" "Coleophoridae"
"630" "Coleophora deauratella" "0" "grijze metaalkokermot" "micro" "Coleophoridae"
"631" "Coleophora deviella" "0" "schorrenkruidkokermot" "micro" "Coleophoridae"
"632" "Coleophora discordella" "0" "rolklaverkokermot" "micro" "Coleophoridae"
"633" "Coleophora ditella" "0" "zuidelijke alsemkokermot" "micro" "Coleophoridae"
"634" "Coleophora flavipennella" "0" "donkere eikenkokermot" "micro" "Coleophoridae"
"635" "Coleophora follicularis" "0" "koninginnekruidkokermot" "micro" "Coleophoridae"
"636" "Coleophora fuscocuprella" "0" "lichte groenglanskokermot" "micro" "Coleophoridae"
"637" "Coleophora galbulipennella" "0" "duinsilenekokermot" "micro" "Coleophoridae"
"638" "Coleophora gallipennella" "0" "bergerwtkokermot" "micro" "Coleophoridae"
"639" "Coleophora genistae" "0" "stekelbremkokermot" "micro" "Coleophoridae"
"640" "Coleophora glaucicolella" "0" "bleke ruskokermot" "micro" "Coleophoridae"
"641" "Coleophora glitzella" "0" "bosbeskokermot" "micro" "Coleophoridae"
"642" "Coleophora graminicolella" "0" "bleke silenekokermot" "micro" "Coleophoridae"
"643" "Coleophora granulatella" "0" "averuitkokermot" "micro" "Coleophoridae"
"644" "Coleophora gryphipennella" "0" "rozenkokermot" "micro" "Coleophoridae"
"645" "Coleophora hemerobiella" "0" "fruitboomkokermot" "micro" "Coleophoridae"
"646" "Coleophora hydrolapathella" "0" "moeraskokermot" "micro" "Coleophoridae"
"647" "Coleophora ibipennella" "0" "geelsnuiteikenkokermot" "micro" "Coleophoridae"
"648" "Coleophora juncicolella" "0" "heidelootjeskokermot" "micro" "Coleophoridae"
"649" "Coleophora kuehnella" "0" "blaasjespistoolkokermot" "micro" "Coleophoridae"
"650" "Coleophora laricella" "0" "larikskokermot" "micro" "Coleophoridae"
"651" "Coleophora lassella" "0" "greppelrusjeskokermot" "micro" "Coleophoridae"
"652" "Coleophora limoniella" "0" "keizersgalmot" "micro" "Coleophoridae"
"653" "Coleophora limosipennella" "0" "lichte iepkokermot" "micro" "Coleophoridae"
"654" "Coleophora lineolea" "0" "andoornkokermot" "micro" "Coleophoridae"
"655" "Coleophora lithargyrinella" "0" "bruine muurkokermot" "micro" "Coleophoridae"
"656" "Coleophora lixella" "0" "gouden sikkelkokermot" "micro" "Coleophoridae"
"657" "Coleophora lusciniaepennella" "0" "slanke wilgenkokermot" "micro" "Coleophoridae"
"658" "Coleophora lutipennella" "0" "gewone eikenkokermot" "micro" "Coleophoridae"
"659" "Coleophora maritimella" "0" "zeeruskokermot" "micro" "Coleophoridae"
"660" "Coleophora mayrella" "0" "kamsprietkokermot" "micro" "Coleophoridae"
"661" "Coleophora milvipennis" "0" "spatel-berkkokermot" "micro" "Coleophoridae"
"662" "Coleophora niveicostella" "0" "egale sprietkokermot" "micro" "Coleophoridae"
"663" "Coleophora obscenella" "0" "guldenroedekokermot" "micro" "Coleophoridae"
"664" "Coleophora ochrea" "0" "zonneroosjeskokermot" "micro" "Coleophoridae"
"665" "Coleophora ochripennella" "0" "geelbruine kokermot" "micro" "Coleophoridae"
"666" "Coleophora orbitella" "0" "okergrijze kokermot" "micro" "Coleophoridae"
"667" "Coleophora otidipennella" "0" "vroege veldbieskokermot" "micro" "Coleophoridae"
"668" "Coleophora pennella" "0" "haartjeskokermot" "micro" "Coleophoridae"
"669" "Coleophora peribenanderi" "0" "distelkokermot" "micro" "Coleophoridae"
"670" "Coleophora potentillae" "0" "braamkokermot" "micro" "Coleophoridae"
"671" "Coleophora prunifoliae" "0" "prunuskokermot" "micro" "Coleophoridae"
"672" "Coleophora pyrrhulipennella" "0" "gestreepte heidekokermot" "micro" "Coleophoridae"
"673" "Coleophora salicorniae" "0" "zeekraalkokermot" "micro" "Coleophoridae"
"674" "Coleophora salinella" "0" "melkwitte meldekokermot" "micro" "Coleophoridae"
"675" "Coleophora saponariella" "0" "zeepkruidkokermot" "micro" "Coleophoridae"
"676" "Coleophora saturatella" "0" "driekleurige bremkokermot" "micro" "Coleophoridae"
"677" "Coleophora saxicolella" "0" "donkere meldekokermot" "micro" "Coleophoridae"
"678" "Coleophora serpylletorum" "0" "smallijnige tijmkokermot" "micro" "Coleophoridae"
"679" "Coleophora serratella" "0" "bruingrijze kokermot" "micro" "Coleophoridae"
"680" "Coleophora siccifolia" "0" "grote bladkokermot" "micro" "Coleophoridae"
"681" "Coleophora solitariella" "0" "oranje muurkokermot" "micro" "Coleophoridae"
"682" "Coleophora spinella" "0" "geelkopprunuskokermot" "micro" "Coleophoridae"
"683" "Coleophora spiraeella" "0" "spierstruikkokermot" "micro" "Coleophoridae"
"684" "Coleophora squalorella" "0" "tweevlekkokermot" "micro" "Coleophoridae"
"685" "Coleophora sternipennella" "0" "ganzenvoetkokermot" "micro" "Coleophoridae"
"686" "Coleophora striatipennella" "0" "muurkokermot" "micro" "Coleophoridae"
"687" "Coleophora sylvaticella" "0" "veldbieskokermot" "micro" "Coleophoridae"
"688" "Coleophora taeniipennella" "0" "gestreepte ruskokermot" "micro" "Coleophoridae"
"689" "Coleophora tamesis" "0" "zompruskokermot" "micro" "Coleophoridae"
"690" "Coleophora tanaceti" "0" "wormkruidkokermot" "micro" "Coleophoridae"
"691" "Coleophora therinella" "0" "zwaluwtongkokermot" "micro" "Coleophoridae"
"692" "Coleophora trifariella" "0" "bremkokermot" "micro" "Coleophoridae"
"693" "Coleophora trifolii" "0" "lichte metaalkokermot" "micro" "Coleophoridae"
"694" "Coleophora trigeminella" "0" "zuidelijke meidoornkokermot" "micro" "Coleophoridae"
"695" "Coleophora trochilella" "0" "gestreepte bijvoetkokermot" "micro" "Coleophoridae"
"696" "Coleophora vacciniella" "0" "grote bosbeskokermot" "micro" "Coleophoridae"
"697" "Coleophora versurella" "0" "bleekgestreepte meldekokermot" "micro" "Coleophoridae"
"698" "Coleophora vestianella" "0" "zandmeldekokermot" "micro" "Coleophoridae"
"699" "Coleophora vibicella" "0" "grote goudkokermot" "micro" "Coleophoridae"
"700" "Coleophora violacea" "0" "witsprietkokermot" "micro" "Coleophoridae"
"701" "Coleophora vitisella" "0" "kromme bosbeskokermot" "micro" "Coleophoridae"
"702" "Coleophora zelleriella" "0" "goudvlerkwilgenkokermot" "micro" "Coleophoridae"
"703" "Colobochyla salicalis" "0" "booglijnuil" "macro" "Erebidae"
"704" "Colocasia coryli" "987" "hazelaaruil" "macro" "Noctuidae"
"705" "Colostygia multistrigaria" "190" "vroege walstrospanner" "macro" "Geometridae"
"706" "Colostygia olivata" "0" "groene bergspanner" "macro" "Geometridae"
"707" "Colostygia pectinataria" "897" "kleine groenbandspanner" "macro" "Geometridae"
"708" "Colotois pennaria" "925" "gepluimde spanner" "macro" "Geometridae"
"709" "Comibaena bajularia" "926" "gevlekte zomervlinder" "macro" "Geometridae"
"710" "Commophila aeneana" "0" "koningsmantelmot" "micro" "Tortricidae"
"711" "Conistra erythrocephala" "954" "roodkopwinteruil" "macro" "Noctuidae"
"712" "Conistra ligula" "167" "donkere winteruil" "macro" "Noctuidae"
"713" "Conistra rubiginea" "809" "gevlekte winteruil" "macro" "Noctuidae"
"714" "Conistra rubiginosa" "893" "zwartvlekwinteruil" "macro" "Noctuidae"
"715" "Conistra vaccinii" "926" "bosbesuil" "macro" "Noctuidae"
"716" "Coptotriche angusticollella" "0" "rozenvlekmot" "micro" "Tischeriidae"
"717" "Coptotriche heinemanni" "0" "zwarte bramenvlekmot" "micro" "Tischeriidae"
"718" "Coptotriche marginea" "0" "gele bramenvlekmot" "micro" "Tischeriidae"
"719" "Corcyra cephalonica" "0" "rijstmot" "micro" "Pyralidae"
"720" "Coscinia cribraria" "754" "grasbeertje" "macro" "Erebidae"
"721" "Coscinia striata" "65" "geel grasbeertje" "macro" "Erebidae"
"722" "Cosmardia moritzella" "0" "koekoeksbloempalpmot" "micro" "Gelechiidae"
"723" "Cosmia affinis" "380" "donkere iepenuil" "macro" "Noctuidae"
"724" "Cosmia diffinis" "0" "iepenuil" "macro" "Noctuidae"
"725" "Cosmia pyralina" "479" "maanuiltje" "macro" "Noctuidae"
"726" "Cosmia trapezina" "966" "hyena" "macro" "Noctuidae"
"727" "Cosmopterix lienigiella" "0" "gele rietprachtmot" "micro" "Cosmopterigidae"
"728" "Cosmopterix orichalcea" "0" "grassenprachtmot" "micro" "Cosmopterigidae"
"729" "Cosmopterix pulchrimella" "0" "glaskruidprachtmot" "micro" "Cosmopterigidae"
"730" "Cosmopterix scribaiella" "0" "zwarte rietprachtmot" "micro" "Cosmopterigidae"
"731" "Cosmopterix zieglerella" "0" "hopprachtmot" "micro" "Cosmopterigidae"
"732" "Cosmorhoe ocellata" "683" "blauwbandspanner" "macro" "Geometridae"
"733" "Cossus cossus" "817" "wilgenhoutrups" "macro" "Cossidae"
"734" "Costaconvexa polygrammata" "177" "walstrospanner" "macro" "Geometridae"
"735" "Crambus ericella" "0" "heidegrasmot" "micro" "Crambidae"
"736" "Crambus hamella" "0" "scherphoekgrasmot" "micro" "Crambidae"
"737" "Crambus lathoniellus" "0" "vroege grasmot" "micro" "Crambidae"
"738" "Crambus pascuella" "0" "zilverstreepgrasmot" "micro" "Crambidae"
"739" "Crambus perlella" "0" "bleke grasmot" "micro" "Crambidae"
"740" "Crambus pratella" "0" "streepjesgrasmot" "micro" "Crambidae"
"741" "Crambus silvella" "0" "bruine grasmot" "micro" "Crambidae"
"742" "Crambus uliginosellus" "0" "biezengrasmot" "micro" "Crambidae"
"743" "Craniophora ligustri" "959" "schedeldrager" "macro" "Noctuidae"
"744" "Crassa tinctella" "0" "lichte zwamboorder" "micro" "Oecophoridae"
"745" "Crassa unitella" "0" "zwamboorder" "micro" "Oecophoridae"
"746" "Crassicornella agenjoi" "0" "schijnpelsmot" "micro" "Tineidae"
"747" "Crocallis elinguaria" "947" "kortzuiger" "macro" "Geometridae"
"748" "Crocidosema plebejana" "0" "wereldbladroller" "micro" "Tortricidae"
"749" "Crombrugghia distans" "0" "streepzaadvedermot" "micro" "Pterophoridae"
"750" "Crombrugghia laetus" "0" "fijntandvedermot" "micro" "Pterophoridae"
"751" "Cryphia algae" "956" "donkergroene korstmosuil" "macro" "Noctuidae"
"752" "Crypsedra gemmea" "63" "bruine granietuil" "macro" "Noctuidae"
"753" "Cryptoblabes bistriga" "0" "boslichtmot" "micro" "Pyralidae"
"754" "Cryptoblabes gnidiella" "0" "citruslichtmot" "micro" "Pyralidae"
"755" "Cucullia absinthii" "41" "absintmonnik" "macro" "Noctuidae"
"756" "Cucullia artemisiae" "0" "bijvoetmonnik" "macro" "Noctuidae"
"757" "Cucullia asteris" "44" "astermonnik" "macro" "Noctuidae"
"758" "Cucullia chamomillae" "42" "kamillevlinder" "macro" "Noctuidae"
"759" "Cucullia scrophulariae" "8" "helmkruidvlinder" "macro" "Noctuidae"
"760" "Cucullia umbratica" "978" "grauwe monnik" "macro" "Noctuidae"
"761" "Cucullia verbasci" "36" "kuifvlinder" "macro" "Noctuidae"
"762" "Cybosia mesomella" "625" "vierstipbeertje" "macro" "Erebidae"
"763" "Cyclophora albipunctata" "958" "berkenoogspanner" "macro" "Geometridae"
"764" "Cyclophora annularia" "45" "nekspindertje" "macro" "Geometridae"
"765" "Cyclophora linearia" "984" "gele oogspanner" "macro" "Geometridae"
"766" "Cyclophora pendularia" "20" "gemarmerde oogspanner" "macro" "Geometridae"
"767" "Cyclophora porata" "204" "eikenoogspanner" "macro" "Geometridae"
"768" "Cyclophora punctaria" "972" "gestippelde oogspanner" "macro" "Geometridae"
"769" "Cyclophora puppillaria" "0" "oranjerode oogspanner" "macro" "Geometridae"
"770" "Cyclophora quercimontaria" "0" "bruine oogspanner" "macro" "Geometridae"
"771" "Cyclophora ruficiliaria" "4" "geelbruine oogspanner" "macro" "Geometridae"
"772" "Cydalima perspectalis" "841" "buxusmot" "micro" "Crambidae"
"773" "Cydia amplana" "0" "oranje eikenbladroller" "micro" "Tortricidae"
"774" "Cydia conicolana" "0" "breedlijnige kegelbladroller" "micro" "Tortricidae"
"775" "Cydia coniferana" "0" "schors-sparspiegelmot" "micro" "Tortricidae"
"776" "Cydia cosmophorana" "0" "bandspiegelmot" "micro" "Tortricidae"
"777" "Cydia deshaisiana" "0" "springboonmot" "micro" "Tortricidae"
"778" "Cydia duplicana" "0" "grote sparspiegelmot" "micro" "Tortricidae"
"779" "Cydia fagiglandana" "0" "beukenspiegelmot" "micro" "Tortricidae"
"780" "Cydia grunertiana" "0" "lariksspiegelmot" "micro" "Tortricidae"
"781" "Cydia illutana" "0" "doffe sparspiegelmot" "micro" "Tortricidae"
"782" "Cydia indivisa" "0" "sparspiegelmot" "micro" "Tortricidae"
"783" "Cydia inquinatana" "0" "esdoornbladroller" "micro" "Tortricidae"
"784" "Cydia interscindana" "0" "zonnegloedbladroller" "micro" "Tortricidae"
"785" "Cydia microgrammana" "0" "stalkruidmot" "micro" "Tortricidae"
"786" "Cydia nigricana" "0" "erwtenbladroller" "micro" "Tortricidae"
"787" "Cydia pactolana" "0" "c-spiegelmot" "micro" "Tortricidae"
"788" "Cydia pomonella" "0" "fruitmot" "micro" "Tortricidae"
"789" "Cydia servillana" "0" "wilgenspiegelmot" "micro" "Tortricidae"
"790" "Cydia splendana" "0" "gewone spiegelmot" "micro" "Tortricidae"
"791" "Cydia strobilella" "0" "kegelbladroller" "micro" "Tortricidae"
"792" "Cydia succedana" "0" "scherpe spiegelmot" "micro" "Tortricidae"
"793" "Cydia zebeana" "0" "dalmatiërbladroller" "micro" "Tortricidae"
"794" "Cymatophorina diluta" "488" "eiken-orvlinder" "macro" "Drepanidae"
"795" "Cymolomia hartigiana" "0" "leemvlekbladroller" "micro" "Tortricidae"
"796" "Cynaeda dentalis" "0" "gevlamde grasmot" "micro" "Crambidae"
"797" "Dactylotula kinkerella" "0" "helmpalpmot" "micro" "Gelechiidae"
"798" "Dahlica lichenella" "0" "algenzakdrager" "micro" "Psychidae"
"799" "Dahlica sauteri" "0" "kleine zandzakdrager" "micro" "Psychidae"
"800" "Dahlica triquetrella" "0" "zandzakdrager" "micro" "Psychidae"
"801" "Daphnis nerii" "6" "oleanderpijlstaart" "macro" "Sphingidae"
"802" "Dasycera oliviella" "0" "schorsvaandeldrager" "micro" "Oecophoridae"
"803" "Dasypolia templi" "0" "harige winteruil" "macro" "Noctuidae"
"804" "Dasystoma salicella" "0" "wollige kortvleugelmot" "micro" "Chimabachidae"
"805" "Deilephila elpenor" "892" "groot avondrood" "macro" "Sphingidae"
"806" "Deilephila porcellus" "867" "klein avondrood" "macro" "Sphingidae"
"807" "Deileptenia ribeata" "176" "satijnen spikkelspanner" "macro" "Geometridae"
"808" "Delplanqueia dilutella" "0" "kleine tijmlichtmot" "micro" "Pyralidae"
"809" "Deltote bankiana" "911" "zilverstreep" "macro" "Noctuidae"
"810" "Deltote deceptoria" "248" "bonte marmeruil" "macro" "Noctuidae"
"811" "Deltote pygarga" "950" "donkere marmeruil" "macro" "Noctuidae"
"812" "Deltote uncula" "310" "zilverhaak" "macro" "Noctuidae"
"813" "Dendrolimus pini" "305" "dennenspinner" "macro" "Lasiocampidae"
"814" "Denisia albimaculea" "0" "wit stamgastje" "micro" "Oecophoridae"
"815" "Denisia augustella" "0" "quasistamgastje" "micro" "Oecophoridae"
"816" "Denisia similella" "0" "citroenstamgastje" "micro" "Oecophoridae"
"817" "Denisia stipella" "0" "vaal stamgastje" "micro" "Oecophoridae"
"818" "Denticucullus pygmina" "159" "zeggeboorder" "macro" "Noctuidae"
"819" "Depressaria albipunctella" "0" "witstipplatlijfje" "micro" "Elachistidae"
"820" "Depressaria badiella" "0" "heideplatlijfje" "micro" "Elachistidae"
"821" "Depressaria beckmanni" "0" "" "micro" "Elachistidae"
"822" "Depressaria chaerophylli" "0" "kervelplatlijfje" "micro" "Elachistidae"
"823" "Depressaria daucella" "0" "karwijplatlijfje" "micro" "Elachistidae"
"824" "Depressaria depressana" "0" "klein peenplatlijfje" "micro" "Elachistidae"
"825" "Depressaria discipunctella" "0" "sober platlijfje" "micro" "Elachistidae"
"826" "Depressaria douglasella" "0" "bont platlijfje" "micro" "Elachistidae"
"827" "Depressaria emeritella" "0" "witrugplatlijfje" "micro" "Elachistidae"
"828" "Depressaria olerella" "0" "oranje witstipplatlijfje" "micro" "Elachistidae"
"829" "Depressaria pimpinellae" "0" "bevernelplatlijfje" "micro" "Elachistidae"
"830" "Depressaria pulcherrimella" "0" "klein platlijfje" "micro" "Elachistidae"
"831" "Depressaria radiella" "0" "groot platlijfje" "micro" "Elachistidae"
"832" "Depressaria sordidatella" "0" "grauw platlijfje" "micro" "Elachistidae"
"833" "Depressaria ultimella" "0" "torkruidplatlijfje" "micro" "Elachistidae"
"834" "Diachrysia chrysitis" "967" "koperuil" "macro" "Noctuidae"
"835" "Diachrysia chryson" "0" "grote koperuil" "macro" "Noctuidae"
"836" "Diacrisia purpurata" "0" "purperbeer" "macro" "Erebidae"
"837" "Diacrisia sannio" "832" "roodbandbeer" "macro" "Erebidae"
"838" "Dialectica imperialella" "0" "smeerwortelsteltmot" "micro" "Gracillariidae"
"839" "Diaphora mendica" "947" "mendicabeer" "macro" "Erebidae"
"840" "Diarsia brunnea" "481" "bruine breedvleugeluil" "macro" "Noctuidae"
"841" "Diarsia dahlii" "83" "moerasbreedvleugeluil" "macro" "Noctuidae"
"842" "Diarsia florida" "0" "dotterbreedvleugeluil" "macro" "Noctuidae"
"843" "Diarsia mendica" "295" "variabele breedvleugeluil" "macro" "Noctuidae"
"844" "Diarsia rubi" "976" "gewone breedvleugeluil" "macro" "Noctuidae"
"845" "Diasemia reticularis" "0" "zwerfstreepmot" "micro" "Crambidae"
"846" "Diasemiopsis ramburialis" "0" "agaatlichtmot" "micro" "Crambidae"
"847" "Dicallomera fascelina" "226" NA NA NA
"848" "Dichelia histrionana" "0" "splintervlekbladroller" "micro" "Tortricidae"
"849" "Dichomeris alacella" "0" "venstervlekmot" "micro" "Gelechiidae"
"850" "Dichomeris derasella" "0" "sleedoornpalpmot" "micro" "Gelechiidae"
"851" "Dichomeris marginella" "0" "jeneverbesmot" "micro" "Gelechiidae"
"852" "Dichomeris ustalella" "0" "roestkleurige palpmot" "micro" "Gelechiidae"
"853" "Dichrorampha acuminatana" "0" "margrietwortelmot" "micro" "Tortricidae"
"854" "Dichrorampha aeratana" "0" "asgrauwe wortelmot" "micro" "Tortricidae"
"855" "Dichrorampha agilana" "0" "kleine wortelmot" "micro" "Tortricidae"
"856" "Dichrorampha alpinana" "0" "brede geelvlekwortelmot" "micro" "Tortricidae"
"857" "Dichrorampha consortana" "0" "zilverwortelmot" "micro" "Tortricidae"
"858" "Dichrorampha flavidorsana" "0" "geelvlekwortelmot" "micro" "Tortricidae"
"859" "Dichrorampha obscuratana" "0" "gehoekte wortelmot" "micro" "Tortricidae"
"860" "Dichrorampha petiverella" "0" "kommawortelmot" "micro" "Tortricidae"
"861" "Dichrorampha plumbagana" "0" "loodlijnwortelmot" "micro" "Tortricidae"
"862" "Dichrorampha plumbana" "0" "geelstipwortelmot" "micro" "Tortricidae"
"863" "Dichrorampha sedatana" "0" "egale wortelmot" "micro" "Tortricidae"
"864" "Dichrorampha simpliciana" "0" "bleke vlekwortelmot" "micro" "Tortricidae"
"865" "Dichrorampha sylvicolana" "0" "oranje wortelmot" "micro" "Tortricidae"
"866" "Dichrorampha vancouverana" "0" "haakjeswortelmot" "micro" "Tortricidae"
"867" "Dicycla oo" "0" "nullenuil" "macro" "Noctuidae"
"868" "Digitivalva arnicella" "0" "valkruidmineermot" "micro" "Glyphipterigidae"
"869" "Digitivalva perlepidella" "0" "donderkruidmineermot" "micro" "Glyphipterigidae"
"870" "Digitivalva pulicariae" "0" "heelblaadjesmineermot" "micro" "Glyphipterigidae"
"871" "Digitivalva valeriella" "0" "snellens heelblaadjesmineermot" "micro" "Glyphipterigidae"
"872" "Diloba caeruleocephala" "493" "krakeling" "macro" "Noctuidae"
"873" "Dioryctria abietella" "0" "sparappelboorder" "micro" "Pyralidae"
"874" "Dioryctria schuetzeella" "0" "donkere sparappelboorder" "micro" "Pyralidae"
"875" "Dioryctria simplicella" "0" "kleine sparappelboorder" "micro" "Pyralidae"
"876" "Dioryctria sylvestrella" "0" "egale sparappelboorder" "micro" "Pyralidae"
"877" "Diplodoma laichartingella" "0" "dubbelzakdrager" "micro" "Psychidae"
"878" "Diplopseustis perieresalis" "0" "zwerfsnuitmot" "micro" "Crambidae"
"879" "Ditula angustiorana" "0" "zomerbladroller" "micro" "Tortricidae"
"880" "Diurnea fagella" "0" "voorjaarskortvleugelmot" "micro" "Chimabachidae"
"881" "Diurnea lipsiella" "0" "herfstkortvleugelmot" "micro" "Chimabachidae"
"882" "Dolicharthria punctalis" "0" "sikkelvlekmot" "micro" "Crambidae"
"883" "Donacaula forficella" "0" "liesgrassnuitmot" "micro" "Crambidae"
"884" "Donacaula mucronella" "0" "zeggesnuitmot" "micro" "Crambidae"
"885" "Drepana curvatula" "935" "bruine eenstaart" "macro" "Drepanidae"
"886" "Drepana falcataria" "941" "berkeneenstaart" "macro" "Drepanidae"
"887" "Dryadaula heindeli" "0" "Dryadaula heindeli" "micro" "Tineidae"
"888" "Dryadaula pactolia" "0" "geen Nederlandse naam" "micro" "Tineidae"
"889" "Drymonia dodonaea" "971" "gestreepte tandvlinder" "macro" "Notodontidae"
"890" "Drymonia obliterata" "25" "beukentandvlinder" "macro" "Notodontidae"
"891" "Drymonia querna" "1001" "witlijntandvlinder" "macro" "Notodontidae"
"892" "Drymonia ruficornis" "980" "maantandvlinder" "macro" "Notodontidae"
"893" "Drymonia velitaris" "90" "zuidelijke tandvlinder" "macro" "Notodontidae"
"894" "Dryobota labecula " "0" "zuidelijk eikenuiltje" "macro" "Noctuidae"
"895" "Dryobotodes eremita" "967" "eikenuiltje" "macro" "Noctuidae"
"896" "Duponchelia fovealis" "0" "duponcheliamot" "micro" "Crambidae"
"897" "Dypterygia scabriuscula" "980" "vogelwiekje" "macro" "Noctuidae"
"898" "Dysauxes ancilla" "0" "dienares" "macro" "Erebidae"
"899" "Dyscia fagaria" "22" "gevlekte heispanner" "macro" "Geometridae"
"900" "Dyseriocrania subpurpurella" "0" "eikenpurpermot" "micro" "Eriocraniidae"
"901" "Dysgonia algira" "9" "bruine prachtuil" "macro" "Erebidae"
"902" "Dysstroma citrata" "0" "gehoekte schimmelspanner" "macro" "Geometridae"
"903" "Dysstroma truncata" "923" "schimmelspanner" "macro" "Geometridae"
"904" "Eana argentana" "0" "zilverbladroller" "micro" "Tortricidae"
"905" "Eana incanana" "0" "hoekbandbladroller" "micro" "Tortricidae"
"906" "Eana osseana" "0" "crèmekleurige bladroller" "micro" "Tortricidae"
"907" "Earias clorana" "972" "kleine groenuil" "macro" "Nolidae"
"908" "Earias insulana" "0" "katoengroenuil" "macro" "Nolidae"
"909" "Earias vernana" "34" "populierengroenuil" "macro" "Nolidae"
"910" "Earophila badiata" "388" "rozenspanner" "macro" "Geometridae"
"911" "Eccopisa effractella" "0" "geelpalpmot" "micro" "Pyralidae"
"912" "Ecliptopera capitata" "68" "springzaadspanner" "macro" "Geometridae"
"913" "Ecliptopera silaceata" "977" "marmerspanner" "macro" "Geometridae"
"914" "Ectoedemia albifasciella" "0" "gewone eikenblaasmijnmot" "micro" "Nepticulidae"
"915" "Ectoedemia angulifasciella" "0" "rozenblaasmijnmot" "micro" "Nepticulidae"
"916" "Ectoedemia arcuatella" "0" "aardbeiblaasmijnmot" "micro" "Nepticulidae"
"917" "Ectoedemia argyropeza" "0" "espenbladsteelmineermot" "micro" "Nepticulidae"
"918" "Ectoedemia atricollis" "0" "zwartkopblaasmijnmot" "micro" "Nepticulidae"
"919" "Ectoedemia atrifrontella" "0" "witte bastmineermot" "micro" "Nepticulidae"
"920" "Ectoedemia hannoverella" "0" "populierenbladsteelmineermot" "micro" "Nepticulidae"
"921" "Ectoedemia heringi" "0" "oostelijke eikenblaasmijnmot" "micro" "Nepticulidae"
"922" "Ectoedemia intimella" "0" "wilgennerfmineermot" "micro" "Nepticulidae"
"923" "Ectoedemia longicaudella" "0" "bruine bastmineermot" "micro" "Nepticulidae"
"924" "Ectoedemia minimella" "0" "gerekte berkenblaasmijnmot" "micro" "Nepticulidae"
"925" "Ectoedemia occultella" "0" "ronde berkenblaasmijnmot" "micro" "Nepticulidae"
"926" "Ectoedemia quinquella" "0" "late eikenmineermot" "micro" "Nepticulidae"
"927" "Ectoedemia rubivora" "0" "bramenblaasmijnmot" "micro" "Nepticulidae"
"928" "Ectoedemia septembrella" "0" "hertshooimineermot" "micro" "Nepticulidae"
"929" "Ectoedemia spinosella" "0" "sleedoornblaasmijnmot" "micro" "Nepticulidae"
"930" "Ectoedemia subbimaculella" "0" "gespleten eikenblaasmijnmot" "micro" "Nepticulidae"
"931" "Ectoedemia turbidella" "0" "abelenbladsteelmineermot" "micro" "Nepticulidae"
"932" "Ectoedemia weaveri" "0" "vossenbesmineermot" "micro" "Nepticulidae"
"933" "Ectropis crepuscularia" "986" "gewone spikkelspanner" "macro" "Geometridae"
"934" "Egira conspicillaris" "0" "brildrager" "macro" "Noctuidae"
"935" "Eidophasia messingiella" "0" "kruidkersmot" "micro" "Plutellidae"
"936" "Eilema caniola" "955" "vaal kokerbeertje" "macro" "Erebidae"
"937" "Eilema complana" "997" "streepkokerbeertje" "macro" "Erebidae"
"938" "Eilema depressa" "969" "naaldboombeertje" "macro" "Erebidae"
"939" "Eilema griseola" "925" "glad beertje" "macro" "Erebidae"
"940" "Eilema lurideola" "926" "plat beertje" "macro" "Erebidae"
"941" "Eilema lutarella" "0" "felgeel beertje" "macro" "Erebidae"
"942" "Eilema pygmaeola" "321" "klein kokerbeertje" "macro" "Erebidae"
"943" "Eilema sororcula" "935" "geel beertje" "macro" "Erebidae"
"944" "Elachista adscitella" "0" "ruwe-smelemineermot" "micro" "Elachistidae"
"945" "Elachista albidella" "0" "witte zeggemineermot" "micro" "Elachistidae"
