species, gbif_key
Argyresthia thuiella, 1830284
Argyresthia trifasciata, 1830271
Argyroploce arbutella, 1745131
Argyroploce externa, 4529805
Argyrotaenia ljungiana, 1747141
Aristotelia brizella, 5122113
Aristotelia ericinella, 5122037
Aristotelia subdecurtella, 5122109
Aroga velocella, 1851220
Aspilapteryx tringipennella, 1748890
Assara terebrella, 1876854
Atemelia torquatella, 1830804
Athrips mouffetella, 5122206
Athrips pruinosella, 5122230
Atralata albofascialis, 1886951
Atremaea lonchoptera, 1846381
Bacotia claustrella, 1853798
Bactra furfurana, 1747738
Bactra lacteana, 1747809
Bactra lancealana, 4530138
Bactra robustana, 1747833
Bactra suedana, 1747792
Bankesia conspurcatella, 1854237
Batia internella, 1841153
Batia lambdella, 1841158
Batia lunaris, 1841159
Batrachedra pinicolella, 1852978
Batrachedra praeangusta, 1852956
Bedellia somnulentella, 1831752
Bisigna procerella, 1835396
Blastobasis adustella, 1852843
Blastobasis glandulella, 9473121
Blastobasis lacticolella, 1852787
Blastobasis pannonica, 9895048
Blastobasis phycidella, 1852751
Blastodacna atra, 1853064
Blastodacna hellerella, 1853066
Blastodacna vinolentella, 1853065
Bohemannia auriciliella, 6097279
Bohemannia pulverosella, 6097278
Bohemannia quadrimaculella, 5102596
Borkhausenia fuscescens, 1838691
Borkhausenia luridicomella, 1838805
Borkhausenia minutella, 1838911
Borkhausenia nefrax, 1838811
Brachmia blandella, 4528539
Brachmia dimidiella, 1848378
Brachmia inornatella, 1848426
Bryotropha affinis, 1848714
Bryotropha basaltinella, 1848717
Bryotropha desertella, 1848686
Bryotropha domestica, 1848741
Bryotropha galbanella, 1848753
Bryotropha senectella, 1848713
Bryotropha similis, 1848730
Bryotropha terrella, 1848690
Bryotropha umbrosella, 1848699
Bucculatrix ainsliella, 1751299
Bucculatrix albedinella, 1751268
Bucculatrix bechsteinella, 4535884
Bucculatrix chrysanthemella, 4535888
Bucculatrix cidarella, 1751236
Bucculatrix cristatella, 1751353
Bucculatrix demaryella, 1751290
Bucculatrix frangutella, 4535904
Bucculatrix maritima, 1751427
Bucculatrix nigricomella, 1751298
Bucculatrix noltei, 1751464
Bucculatrix thoracella, 1751457
Bucculatrix ulmella, 1751368
Bucculatrix ulmifoliae, 1751337
Buckleria paludum, 1859068
Buszkoiana capnodactylus, 4536316
Cacoecimorpha pronubana, 1740669
Cactoblastis cactorum, 1870532
Cadra calidella, 1873919
Cadra cautella, 1873890
Cadra figulilella, 1873903
Calamotropha paludella, 1890187
Callisto denticulella, 1749050
Caloptilia alchimiella, 5104940
Caloptilia azaleella, 5104903
Caloptilia betulicola, 5104772
Caloptilia cuculipennella, 5105106
Caloptilia elongella, 5105158
Caloptilia falconipennella, 5104829
Caloptilia fidella, 5105176
Caloptilia hemidactylella, 5104797
Caloptilia honoratella, 5105038
Caloptilia populetorum, 5105088
Caloptilia robustella, 5104882
